,MSE,R2_oos,Sharpe (annual),Volatility (annual),Cumulative return,Max drawdown,Average monthly ret,Accuracy,AUC
OLS,0.02097373,-0.014,0.045,0.1853,-0.223,-0.609,0.0007,,
Ridge,0.02100782,-0.0156,-0.09,0.1785,-0.594,-0.72,-0.00133,,
Lasso,0.02099968,-0.0152,-0.102,0.1804,-0.625,-0.73,-0.00154,,
PCR,0.02073426,-0.0024,-0.065,0.3003,-0.842,-0.894,-0.00164,,
PLS,0.02097994,-0.0143,-0.02,0.18,-0.43,-0.623,-0.00031,,
Tree,0.02210327,-0.0686,0.16,0.2371,0.094,-0.289,0.00316,,
RF,0.02231895,-0.079,-0.191,0.2653,-0.835,-0.847,-0.00422,,
Bagging,0.02207372,-0.0671,-0.111,0.2243,-0.447,-0.615,-0.00207,,
Boosting,0.02225259,-0.0758,0.105,0.2397,-0.059,-0.641,0.0021,,
Logit,,,0.227,0.2412,0.977,-0.611,0.00457,0.509,0.5117
Multinomial Logit,,,-0.086,0.3283,-0.898,-0.964,-0.00236,0.2545,0.5872
