,MSE,R2_oos,Sharpe (annual),Volatility (annual),Cumulative return,Max drawdown,Average monthly ret,Accuracy,AUC
OLS,0.02097373,-0.014,-0.001,0.1916,-0.406,-0.797,-2e-05,,
Ridge,0.02100782,-0.0156,-0.137,0.1868,-0.703,-0.829,-0.00214,,
Lasso,0.02099968,-0.0152,-0.133,0.1948,-0.718,-0.818,-0.00217,,
PCR,0.02073426,-0.0024,-0.168,0.2999,-0.93,-0.96,-0.00419,,
PLS,0.02097994,-0.0143,-0.068,0.1862,-0.57,-0.823,-0.00106,,
Tree,0.02210327,-0.0686,-0.058,0.2731,-0.254,-0.52,-0.00133,,
RF,0.02231895,-0.079,-0.028,0.3315,-0.763,-0.869,-0.00076,,
Bagging,0.02207372,-0.0671,-0.191,0.2625,-0.633,-0.713,-0.00419,,
Boosting,0.02225259,-0.0758,-0.019,0.2408,-0.605,-0.778,-0.00039,,
Logit,,,0.33,0.2574,3.271,-0.678,0.00708,0.509,0.5117
Multinomial Logit,,,0.027,0.3365,-0.734,-0.935,0.00076,0.2545,0.5872
