,MSE,R2_oos,Sharpe (annual),Volatility (annual),Cumulative return,Max drawdown,Average monthly ret,Accuracy,AUC
OLS,0.04540996,-0.0091,0.623,0.1716,12.116,-0.494,0.0089,,
Ridge,0.04545229,-0.01,0.511,0.1972,8.783,-0.614,0.0084,,
Lasso,0.04543308,-0.0096,0.532,0.1955,9.836,-0.621,0.00867,,
PCR,0.04499357,0.0002,0.011,0.3324,-0.732,-0.931,0.0003,,
PLS,0.04542043,-0.0093,0.545,0.1978,10.896,-0.559,0.00898,,
Tree,0.04646067,-0.0324,-0.292,0.0904,-0.325,-0.377,-0.0022,,
RF,0.0489507,-0.0878,0.294,0.36,3.643,-0.606,0.00883,,
Bagging,0.04842343,-0.0761,-0.045,0.2822,-0.693,-0.914,-0.00107,,
Boosting,0.04752425,-0.0561,0.92,0.2752,434.624,-0.466,0.0211,,
Logit,,,0.093,0.3625,-0.782,-0.974,0.00282,0.5365,0.5478
Multinomial Logit,,,0.064,0.3764,-0.69,-0.921,0.00201,0.2768,0.6079
