,MSE,R2_oos,Sharpe (annual),Volatility (annual),Cumulative return,Max drawdown,Average monthly ret,Accuracy,AUC
OLS,0.04540996,-0.0091,-0.044,0.2378,-0.654,-0.798,-0.00087,,
Ridge,0.04545229,-0.01,-0.046,0.2594,-0.718,-0.856,-0.00099,,
Lasso,0.04543308,-0.0096,-0.174,0.2593,-0.89,-0.941,-0.00376,,
PCR,0.04499357,0.0002,-0.506,0.3566,-0.999,-1.0,-0.01502,,
PLS,0.04542043,-0.0093,0.175,0.25,0.446,-0.706,0.00366,,
Tree,0.04646067,-0.0324,-0.31,0.0907,-0.338,-0.398,-0.00234,,
RF,0.0489507,-0.0878,0.109,0.4018,-0.387,-0.88,0.00366,,
Bagging,0.04842343,-0.0761,-0.253,0.3337,-0.967,-0.985,-0.00704,,
Boosting,0.04752425,-0.0561,0.184,0.3324,0.366,-0.799,0.00511,,
Logit,,,0.439,0.3411,9.732,-0.753,0.01248,0.5365,0.5478
Multinomial Logit,,,-0.032,0.3727,-0.896,-0.983,-0.001,0.2768,0.6079
