,MSE,R2_oos,Sharpe (annual),Volatility (annual),Cumulative return,Max drawdown,Average monthly ret,Accuracy,AUC
OLS,0.03321556,-0.0059,0.319,0.2283,2.447,-0.588,0.00607,,
Ridge,0.03327425,-0.0077,0.362,0.2134,3.43,-0.558,0.00644,,
Lasso,0.03325947,-0.0073,0.405,0.2148,4.729,-0.547,0.00724,,
PCR,0.03305598,-0.0011,0.294,0.2743,2.071,-0.69,0.00673,,
PLS,0.03325669,-0.0072,0.382,0.2289,4.19,-0.625,0.0073,,
Tree,0.03414339,-0.034,-0.469,0.1696,-0.309,-0.363,-0.00663,,
RF,0.03673442,-0.1125,-0.316,0.3862,-0.985,-0.992,-0.01017,,
Bagging,0.03548473,-0.0747,-0.244,0.2555,-0.826,-0.87,-0.0052,,
Boosting,0.03515232,-0.0646,0.584,0.2457,23.428,-0.444,0.01195,,
Logit,,,0.513,0.3094,17.295,-0.691,0.01324,0.5316,0.5414
Multinomial Logit,,,-0.134,0.3494,-0.949,-0.982,-0.00391,0.2731,0.604
