,MSE,R2_oos,Sharpe (annual),Volatility (annual),Cumulative return,Max drawdown,Average monthly ret,Accuracy,AUC
OLS,0.03321556,-0.0059,0.048,0.2166,-0.309,-0.813,0.00086,,
Ridge,0.03327425,-0.0077,0.073,0.2113,-0.174,-0.756,0.00129,,
Lasso,0.03325947,-0.0073,0.153,0.2117,0.326,-0.726,0.00271,,
PCR,0.03305598,-0.0011,-0.128,0.244,-0.819,-0.956,-0.0026,,
PLS,0.03325669,-0.0072,0.131,0.2259,0.117,-0.709,0.00247,,
Tree,0.03414339,-0.034,-0.427,0.1806,-0.307,-0.37,-0.00643,,
RF,0.03673442,-0.1125,-0.269,0.4281,-0.989,-0.994,-0.0096,,
Bagging,0.03548473,-0.0747,-0.419,0.2719,-0.941,-0.952,-0.0095,,
Boosting,0.03515232,-0.0646,0.255,0.2745,1.53,-0.679,0.00584,,
Logit,,,0.476,0.3145,13.992,-0.691,0.01248,0.5316,0.5414
Multinomial Logit,,,0.006,0.3576,-0.822,-0.963,0.00017,0.2731,0.604
