,N,mean,std,min,P5,P25,Median,P75,P95,max
y,2922274,0.0077,0.197,-1.0066,-0.2367,-0.0723,-0.0028,0.0693,0.2659,38.996
size,2950056,12.1286,2.2656,2.3571,8.7135,10.4679,11.9611,13.6435,16.1086,22.3169
mom1m,2948972,0.0111,0.195,-0.9957,-0.2308,-0.068,0.0,0.0715,0.2672,39.0
price,2950056,49.4722,3053.4504,0.0062,1.02,5.07,13.08,26.875,69.11,800540.0
turnover,2950056,210.0692,12255.266,0.0,5.5325,22.5018,60.8111,146.6255,444.54,11922570.0479
mom12m,2892716,0.1273,0.7951,-1.0,-0.625,-0.1988,0.0467,0.2997,1.06,436.6845
high52,2892716,0.7385,0.3691,0.0005,0.2574,0.5704,0.7786,0.9231,1.0631,262.3832
ret_vol,2892716,0.0344,0.0335,0.0,0.0085,0.0166,0.0261,0.0418,0.0859,8.4777
idio_vol,2892716,0.0296,0.0308,0.0,0.0067,0.0133,0.0218,0.0361,0.0767,7.7997
ind_mom,2892716,0.0909,0.1702,-0.9136,-0.1587,-0.0018,0.083,0.1694,0.3563,10.5068
beta,2892716,1.0598,0.7485,-17.8663,0.141,0.6298,0.9557,1.3473,2.367,52.6319
share_issuance,2892531,0.939,654.704,-0.9982,-0.0528,0.0,0.0063,0.0291,0.3715,707720.6487
amihud_illiq,2892716,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.025
leverage,2892716,2.4611,16.8695,0.0,0.0431,0.259,0.6142,1.5337,8.9588,5277.1956
tbl,2950056,0.0406,0.03,0.0001,0.0004,0.0148,0.0444,0.0559,0.0896,0.163
tms,2950056,0.019,0.0148,-0.0365,-0.0063,0.0087,0.0189,0.0313,0.0411,0.0455
dfy,2950056,0.01,0.004,0.0055,0.006,0.0071,0.009,0.0116,0.0171,0.0338
mom12m_tbl,2892716,0.0053,0.0376,-0.1248,-0.0284,-0.0051,0.0002,0.0091,0.0484,24.8473
mom12m_tms,2892716,0.003,0.0193,-0.546,-0.0146,-0.0029,0.0004,0.0055,0.0249,4.2838
mom12m_dfy,2892716,0.001,0.0075,-0.0336,-0.0067,-0.0019,0.0004,0.0027,0.0104,3.0131
beta_tbl,2892716,0.042,0.0448,-0.669,0.0002,0.0061,0.0322,0.0622,0.1246,2.6105
beta_tms,2892716,0.0202,0.0235,-0.452,-0.0067,0.0053,0.0159,0.0305,0.0619,1.2775
beta_dfy,2892716,0.0106,0.0086,-0.2501,0.0012,0.0054,0.0089,0.0138,0.0261,0.6424
bm,2892716,-0.7968,0.9231,-10.131,-2.4669,-1.1336,-0.7147,-0.269,0.4801,6.8214
gross_profit,2950056,0.3221,0.3049,-25.2083,0.0,0.2027,0.3153,0.403,0.7703,6.1928
roa_q,2892705,-0.0049,0.2726,-58.0917,-0.1034,0.0008,0.0067,0.0149,0.041,171.9972
asset_growth,2950056,0.1743,1.9873,-1.0,-0.2247,0.005,0.0768,0.1474,0.6792,679.3918
accruals,2950056,-0.0305,0.1088,-24.3138,-0.1607,-0.0572,-0.029,-0.0026,0.102,6.216
mom36m,2892716,0.297,1.2579,-1.0,-0.6908,-0.1733,0.1496,0.4734,1.6743,544.3116
